Key,Type,Desc,English (United States) [en],French,Italian,German,Spanish (Spain) [es]
DailyReward/DailyReawardElement_Day,Text,"Example: ""DAY 1""",DAY {[DAY]},Jour {[DAY]},Giorno {[DAY]},Tag {[DAY]},Día {[DAY]}
DailyReward/DailyReward,Text,,Daily Reward,Récompense Quotidienne,Ricompensa Quotidiana,Tägliche Belohnung,Recompensa Diaria
DailyReward/DailyRewardElement_Amount,Text,"Amount of reward player will gain. Example ""x 150""",x {[AMOUNT]},x {[AMOUNT]},x {[AMOUNT]},x {[AMOUNT]},x {[AMOUNT]}
Font/MPLUSROUNDED1C-BLACK SDF,TextMeshPFont,,MPLUSROUNDED1C-BLACK SDF,MPLUSROUNDED1C-BLACK SDF,MPLUSROUNDED1C-BLACK SDF,MPLUSROUNDED1C-BLACK SDF,MPLUSROUNDED1C-BLACK SDF
Font/MPLUSROUNDED1C-BOLD SDF,TextMeshPFont,,MPLUSROUNDED1C-BOLD SDF,MPLUSROUNDED1C-BOLD SDF,MPLUSROUNDED1C-BOLD SDF,MPLUSROUNDED1C-BOLD SDF,MPLUSROUNDED1C-BOLD SDF
Font/MPLUSROUNDED1C-EXTRABOLD SDF,TextMeshPFont,,MPLUSROUNDED1C-EXTRABOLD SDF,MPLUSROUNDED1C-EXTRABOLD SDF,MPLUSROUNDED1C-EXTRABOLD SDF,MPLUSROUNDED1C-EXTRABOLD SDF,MPLUSROUNDED1C-EXTRABOLD SDF
Generic/CONGRATULATIONS!,Text,,CONGRATULATIONS!,Félicitations!,Congratulazioni!,Glückwünsch!,¡Felicidades!
Generic/Cancel,Text,,Cancel,Annuler,Annulla,<size=62>Abbrechen</size>,<size=68>Cancelar</size>
Generic/Claim,Text,,Claim,Réclamer,Reclamo,<size=92>Einfordern</size>,Reclamar
Generic/Close,Text,,Close,Fermer,Chiudere,<size=66>Schließen</size>,Cerca
Generic/CollectReward,Text,,Collect Reward,<size=40>Récolter votre Récompense</size>,<size=40>Raccogliere La Ricompensa</size>,Belohnung Abholen,Recoger La Recompensa
Generic/Gifts,Text,,Gifts,Cadeaux,I Regali,Geschenke,Regalos
Generic/HighScores,Text,,High Scores,Meilleurs Scores,Miglior Punteggio,Highscore,Puntuaciones Altas
Generic/Home,Text,,Home,Accueil,Casa,Home,Hogar
